Model: gaussian_naive_bayes
Accuracy: 0.48773661713820476
Mean Squared Error: 579.7940158762467
Confusion Matrix (as DataFrame):
      0    1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83
38     2    0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   5   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   2   0   0  12   0   0  11   1   0   1   0   1   3   0   1
39     0    0   0   0   0   0   0   2   0   0   2   0   0   3   0   0   1   0   0   1   0   0   1   3   0   0   0   2   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  16   0   0   6   2   0   0   0   3   1   0   0
40     0    0   0   0   0   3   0   0   0   0   0   0   0   2   1   0   0   1   0   0   0   0   0   1   0   0   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   5   0   0   9   0   0  10   0   0   0   0   1   0   0   1
41     1    1   0   0   0   1   0   1   0   0   1   0   0   1   0   0   0   0   0   1   0   0   0   3   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   1   0   0   0   4   0   0  10   0   0   9   3   0   0   0   3   3   0   1
42     0    0   0   1   0   1   0   0   1   0   0   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0   0   2   0   1   0   0   0   0   0   0   0   0   0   0   1   2   0   0   0   1   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   8   0   0   4   0   0   0   1   1   4   0   0
43     0    0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   8   0   0   6   2   0   0   0   3   4   0   0
44     0    0   0   0   0   3   0   0   0   0   1   0   0   1   0   0   0   1   0   1   0   0   0   2   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   0   0   9   0   0   6   4   0   0   0   1   0   0   0
45     1    0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   2   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   4   0   0   2   0   0   9   0   0   0   0   2   3   0   2
46     0    0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   4   0   0  11   0   0   4   1   0   1   0   1   2   0   0
47     1    0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   7   0   0   2   0   1   0   0   4   3   0   2
